Identifier,Status,Age,Data usage (bytes),Voice (secs),SMS,Data roaming (bytes),Total bill
1003,Active,23,24696061952,65,3,46220524,20
1007,Active,24,18253611008,42,7,156121026,32
1011,Active,41,4294967296,15287,90,5368709120,61
1016,Active,38,5368709120,6152,10,10737418240,76
1020,Inactive,19,20401094656,87,3,15032385536,29
1024,Active,29,22548578304,56,3,15032385536,57
1028,Active,50,7516192768,12457,73,12884901888,72
1032,Active,42,4294967296,22336,102,5368709120,75
1037,Active,22,18253611008,93,0,4294967296,50
1041,Inactive,30,26843545600,47,13,9663676416,52
1045,Active,45,6442450944,17016,78,15032385536,59
1049,Active,37,2147483648,2657,70,11811160064,36
1053,Active,38,6442450944,18028,11,7516192768,11
1058,Active,51,6442450944,26347,72,6442450944,32
1062,Active,39,7516192768,4409,10,4294967296,46
1066,Active,44,2147483648,11172,34,11811160064,72
1070,Inactive,46,5368709120,24645,6,11811160064,93
1074,Active,31,16106127360,9598,148,7516192768,47
1079,Active,37,2147483648,18142,37,6442450944,32
1083,Active,47,4294967296,21504,7,11811160064,63
1087,Active,33,5368709120,12313,147,9663676416,49
1091,Active,29,16106127360,22,37,4294967296,10
1095,Active,19,6442450944,151,20,11811160064,32
1100,Inactive,48,6442450944,25097,98,4294967296,64
1104,Active,49,5368709120,15566,118,12884901888,82
1108,Active,36,11811160064,15524,147,5368709120,57
1112,Active,37,1073741824,11612,63,5368709120,53
1116,Active,38,1073741824,7372,141,12884901888,38
1121,Active,21,25769803776,122,5,9663676416,44
1125,Active,23,13958643712,39,15,12884901888,18
1129,Active,24,16106127360,64,33,13958643712,61
1133,Active,46,3221225472,2782,105,10737418240,57
1137,Active,23,17179869184,55,30,11811160064,92
1142,Active,42,6442450944,21240,87,15032385536,33
1146,Active,33,8589934592,5760,121,9663676416,91
1150,Active,30,15032385536,14,35,8589934592,20
1154,Active,48,3221225472,7479,42,7516192768,88
1158,Active,51,3221225472,7485,99,6442450944,64
1163,Active,34,13958643712,7498,10,4294967296,42
1167,Active,31,6442450944,26535,24,9663676416,65
1171,Active,48,1073741824,16076,41,15032385536,92
1175,Active,34,12884901888,18564,139,9663676416,30
1179,Active,26,26843545600,11,24,5368709120,13
1184,Active,49,1073741824,21761,130,8589934592,84
1188,Active,32,11811160064,26985,55,7516192768,29
1192,Inactive,18,24696061952,59,30,15032385536,53
1196,Active,25,20401094656,159,17,11811160064,20
1200,Active,30,24696061952,113,22,5368709120,75
1205,Active,32,2147483648,9067,8,8589934592,32
1209,Active,45,3221225472,25569,145,13958643712,59
1213,Active,48,1073741824,14956,137,8589934592,57
1217,Active,37,1073741824,25752,89,12884901888,19
1221,Active,28,15032385536,99,42,12884901888,86
1226,Active,42,7516192768,5733,122,8589934592,75
1230,Active,50,3221225472,11580,136,7516192768,50
1234,Inactive,26,6442450944,30,4,4294967296,13
1238,Active,51,1073741824,17394,58,4294967296,94
1242,Active,28,23622320128,162,15,6442450944,59
1247,Active,44,4294967296,11694,144,12884901888,83
1251,Active,42,1073741824,13253,119,7516192768,84
1255,Active,26,7516192768,78,27,11811160064,84
1259,Active,51,5368709120,7095,131,9663676416,74
1263,Inactive,50,6442450944,17917,59,6442450944,74
1268,Active,26,19327352832,115,37,7516192768,44
1272,Active,46,5368709120,8448,20,5368709120,57
1276,Active,38,3221225472,5488,7,10737418240,65
1280,Active,46,6442450944,4571,4,8589934592,69
1284,Active,24,18253611008,187,37,15032385536,52
1289,Inactive,21,5368709120,33,12,12884901888,15
1293,Active,39,6442450944,26390,30,7516192768,40
1297,Active,20,12884901888,118,20,13958643712,65
1301,Active,45,1073741824,20428,34,10737418240,83
1305,Active,34,8589934592,11147,28,9663676416,67
1310,Inactive,31,16106127360,7011,116,15032385536,33
1314,Active,28,10737418240,15,30,6442450944,42
1318,Inactive,28,17179869184,123,16,11811160064,22
1322,Active,51,3221225472,6444,92,10737418240,24
1326,Active,34,5368709120,6185,24,15032385536,37
1331,Active,20,10737418240,133,9,8589934592,89
1335,Active,25,17179869184,4,2,8589934592,85
1339,Active,50,3221225472,6350,96,4294967296,38
1343,Active,30,11811160064,119,2,8589934592,55
1347,Inactive,49,3221225472,10958,13,12884901888,24
1352,Active,47,7516192768,7520,111,11811160064,32
1356,Inactive,23,19327352832,11,28,9663676416,66
1360,Active,50,6442450944,406,24,11811160064,73
1364,Active,24,17179869184,59,45,7516192768,19
1368,Active,18,7516192768,31,0,7516192768,73
1373,Active,22,22548578304,168,4,12884901888,26
1377,Active,42,5368709120,24090,101,10737418240,34
1381,Active,32,7516192768,20117,39,15032385536,39
1385,Active,41,4294967296,17380,138,13958643712,51
1389,Active,47,1073741824,6277,78,9663676416,25
1394,Active,46,3221225472,13409,39,6442450944,15
1398,Active,44,7516192768,21712,4,8589934592,26
1402,Active,25,23622320128,191,18,6442450944,71
1406,Active,38,4294967296,3698,21,8589934592,68
1410,Active,23,20401094656,40,32,10737418240,50
1415,Active,23,20401094656,101,7,10737418240,61
1419,Active,45,2147483648,23188,53,15032385536,77
1423,Active,48,7516192768,7271,0,4294967296,30
1427,Active,48,1073741824,16337,1,8589934592,67
1431,Active,21,10737418240,39,20,10737418240,51
1436,Active,32,12884901888,242,133,5368709120,48
1440,Active,42,6442450944,2539,20,10737418240,10
1444,Inactive,26,20401094656,10,27,6442450944,88
1448,Active,49,7516192768,1568,62,13958643712,77
1452,Active,33,15032385536,12223,122,4294967296,24
1457,Active,36,11811160064,18025,58,15032385536,17
1461,Active,37,7516192768,16795,17,9663676416,91
1465,Inactive,33,3221225472,9214,77,8589934592,29
1469,Active,38,4294967296,1504,147,10737418240,42
1473,Inactive,23,19327352832,54,13,13958643712,86
1478,Active,47,2147483648,23051,78,10737418240,60
1482,Active,47,7516192768,5729,40,4294967296,79
1486,Active,48,6442450944,6902,83,7516192768,47
1490,Active,18,25769803776,132,18,5368709120,91
1494,Inactive,51,4294967296,24099,35,13958643712,92
1499,Inactive,23,16106127360,55,31,9663676416,18
1503,Active,43,5368709120,16739,37,102088353,53
1507,Active,45,1073741824,21391,50,52208204,27
1511,Active,45,6442450944,13747,28,118961043,22
1515,Inactive,45,2147483648,2062,74,27582140,28
1520,Active,21,21474836480,129,34,106546945,56
1524,Inactive,21,25769803776,188,10,114405976,34
1528,Active,50,5368709120,7893,68,132305411,45
1532,Active,49,6442450944,14911,60,35295316,56
1536,Active,51,6442450944,6676,71,55899611,41
1541,Active,29,15032385536,42,33,26313285,83
1545,Active,35,9663676416,8601,47,153168216,11
1549,Active,49,7516192768,25307,17,61760281,93
1553,Inactive,19,17179869184,90,27,39334005,37
1557,Active,49,7516192768,2307,53,91763761,75
1562,Active,40,3221225472,4498,30,63445526,84
1566,Active,34,9663676416,16430,148,23986958,59
1570,Inactive,51,5368709120,2639,147,147911903,42
1574,Active,26,6442450944,6,17,28965,44
1578,Active,34,16106127360,24908,7,93812793,86
1583,Active,26,5368709120,187,39,140652154,64
1587,Active,27,26843545600,31,41,147485804,89
1591,Active,39,1073741824,693,65,39403678,62
1595,Active,27,18253611008,189,35,47771273,49
1599,Active,30,6442450944,57,28,116732248,92
1604,Inactive,18,5368709120,58,35,40359188,67
1608,Inactive,27,7516192768,167,38,150198856,16
1612,Active,34,12884901888,2662,86,20645087,76
1616,Active,47,4294967296,22025,117,126686835,30
1620,Active,41,4294967296,20634,124,140664164,90
1625,Active,43,2147483648,26194,64,68281141,50
1629,Active,43,2147483648,9727,103,76048265,20
1633,Inactive,48,6442450944,12619,137,65858308,58
1637,Active,45,5368709120,11512,77,150817267,45
1641,Inactive,37,6442450944,17136,114,92052709,47
1646,Active,21,18253611008,139,29,157256135,77
1650,Active,29,26843545600,51,0,82372920,95
1654,Active,48,3221225472,24139,41,72239782,76
1658,Active,38,5368709120,7905,104,91970910,91
1662,Active,48,3221225472,26314,124,99691492,67
1667,Active,34,13958643712,25981,113,48193255,64
1671,Active,40,7516192768,20097,120,28625680,84
1675,Active,24,26843545600,65,7,13867047,51
1679,Inactive,30,5368709120,167,15,1583083,11
1683,Active,39,1073741824,14492,43,7088234,10
1688,Active,39,2147483648,4944,102,118177021,93
1692,Active,33,5368709120,23344,120,20422088,81
1696,Active,31,7516192768,2529,52,111479396,54
1700,Active,49,4294967296,18093,54,136983317,71
1704,Active,24,19327352832,2,43,23661578,17
1709,Inactive,19,11811160064,53,2,87581236,30
1713,Active,33,4294967296,12939,37,105268079,85
1717,Active,20,26843545600,53,1,27393563,10
1721,Active,44,7516192768,1133,71,149906688,90
1725,Active,22,15032385536,117,24,146273896,54
1730,Active,38,3221225472,4606,48,1475592,14
1734,Active,44,7516192768,6258,90,48442386,39
1738,Active,38,2147483648,3182,117,150503263,74
1742,Active,25,20401094656,25,28,144043825,25
1746,Inactive,45,4294967296,14050,119,81022875,59
1751,Active,50,4294967296,6943,7,68882789,68
1755,Active,51,1073741824,7765,65,94506275,86
1759,Active,21,23622320128,52,37,119816464,89
1763,Active,46,6442450944,6593,49,144377399,17
1767,Active,43,5368709120,7750,82,65613,28
1772,Inactive,35,5368709120,23799,58,86981763,77
1776,Active,42,4294967296,3167,104,46423152,25
1780,Active,50,4294967296,23810,22,116533325,37
1784,Active,21,9663676416,22,2,90514015,51
1788,Active,25,11811160064,36,7,96747026,33
1793,Active,36,3221225472,8947,76,130280019,55
1797,Active,23,5368709120,123,26,124143134,38
1801,Inactive,20,19327352832,62,29,79960632,20
1805,Inactive,45,4294967296,19698,33,111362910,79
1809,Active,27,18253611008,195,28,127000628,63
1814,Active,39,3221225472,265,96,28995982,54
1818,Active,50,1073741824,23140,3,141973147,29
1822,Inactive,36,4294967296,6232,149,64383675,57
1826,Active,20,22548578304,72,34,88818527,10
1830,Inactive,43,6442450944,4950,3,113897487,52
1835,Inactive,46,6442450944,18157,3,36826231,74